aa AFR
lez LEZ
lg LUG
li LIM
lif LMB
lij LIJ
lis LIS
ljp LJP
lki LKI
lld LAD
lmn LAM
lmo LMO
ln LIN
lo LAO
lrc LRC
lt LTH
lu LUB
lua LUB
luo LUO
lus MIZ
luy LUH
luz LRC
lv LVI
lzz LAZ
mad MAD
mag MAG
mai MTH
mak MKR
man MNK
mdc MLE
mdf MOK
mdr MDR
mdy MLE
men MDE
mer MER
mfe MFE
mg MLG
mh MAH
mhr LMA
mi MRI
min MIN
mk MKD
mku MNK
mkw MKW
ml MLR
mlq MNK
mn MNG
mnc MCH
mni MNI
mnk MND
mns MAN
mnw MON
mo MOL
moh MOH
mos MOS
mpe MAJ
mr MAR
mrj HMA
ms MLY
msc MNK
mt MTS
mtr MAW
mus MUS
mve MAW
mwk MNK
mwl MWL
mwr MAW
mww MWW
my BRM
mym MEN
myq MNK
myv ERZ
mzn MZN
na NAU
nag NAG
nah NAH
nap NAP
nb NOR
nco SIB
nd NDB
ndc NDC
nds NDS
ne NEP
new NEW
ng NDG
nga NGA
ngl LMW
niu NIU
niv GIL
nl NLD
nn NYN
no NOR
nod NTA
noe NOE
nog NOG
nov NOV
nqo NKO
nr NDB
nsk NAS
nso SOT
ny CHI
nym NYM
nyn NKL
oc OCI
oj OJB
ojs OCR
om ORO
or ORI
os OSS
pa PAN
pag PAG
pam PAM
pap PAP0
pcc PCC
pcd PCD
pce PLG
pdc PDC
pes FAR
phk PHK
pi PAL
pih PIH
pl PLK
pll PLG
plp PAP
pms PMS
pnb PNB
prs DRI
ps PAS
pt PTG
pwo PWO
qu QUZ
quc QUC
quz QUZ
raj RAJ
rbb PLG
rej REJ
ria RIA
ril RIA
rki ARK
rm RMS
rmy RMY
rn RUN
ro ROM
rom ROY
ru RUS
rue RSY
rup RUP
rw RUA
rwr MAW
sa SAN
sah YAK
sas SAS
sat SAT
sc SRD
sck SAD
scn SCN
sco SCO
scs SLA
sd SND
se NSM
seh SNA
sel SEL
sg SGO
sga SGA
sgs SGS
sgw CHG
shn SHN
si SNH
sid SID
sjd KSM
sk SKY
skr SRK
sl SLV
sm SMO
sma SSM
smj LSM
smn ISM
sms SKS
sn SNA0
snk SNK
so SML
sop SOP
sq SQI
sr SRB
srr SRR
ss SWZ
st SOT
stq STQ
stv SIG
su SUN
suk SUK
suq SUR
sv SVE
sva SVA
sw SWK
swb CMR
swh SWK
swv MAW
sxu SXU
syl SYL
syr SYR
szl SZL
ta TAM
tab TAB
tcy TUL
tdd TDD
te TEL
tem TMN
tet TET
tg TAJ
th THA
ti TGY
tig TGR
tiv TIV
tk TKM
tl TGL
tmh TMH
tn TNA
to TGN
tpi TPI
tr TRK
tru TUA
ts TSG
tt TAT
tum TUM
tw TWI
ty THT
tyv TUV
tyz TYZ
tzm TZM
udm UDM
ug UYG
uk UKR
umb UMB
unr MUN
ur URD
uz UZB
uzn UZB
uzs UZB
ve VEN
vec VEC
vi VIT
vls FLE
vmw MAK
vo VOL
vro VRO
wa WLN
war WAR
wbm WA
wbr WAG
wle SIG
wo WLF
wry MAW
wtm WTM
xal KLM
xh XHS
xog XOG
xom KMO
xsl SSL
xst SIG
xwo TOD
yao YAO
yi JII
yo YBA
yso NIS
za ZHA
zea ZEA
zh ZHS
zne ZND
zu ZUL
zum LRC
